Timestamp,Name / പേര്,Age / വയസ്സ്,Gender / ലിംഗം,District / ജില്ല,Occupation / തൊഴിൽ,Do you use social media daily? / ദിവസവും സമൂഹമാധ്യമം ഉപയോഗിക്കുന്നുണ്ടോ?,1. I feel calm and relaxed most days / എനിക്ക് മിക്ക ദിവസവും ശാന്തത അനുഭവപ്പെടുന്നു,2. I sleep well at night / എനിക്ക് രാത്രി നന്നായി ഉറങ്ങാൻ കഴിയുന്നു,3. I often feel tense for no clear reason / വ്യക്തമായ കാരണമില്ലാതെ പിരിമുറുക്കം തോന്നാറുണ്ട്,4. I enjoy my daily activities / ദൈനംദിന പ്രവർത്തനങ്ങൾ ഞാൻ ആസ്വദിക്കുന്നു,5. I feel hopeless about the future / ഭാവിയെക്കുറിച്ച് പ്രതീക്ഷയില്ലായ്മ തോന്നുന്നു,6. I check my phone within minutes of waking up / ഉണർന്ന ഉടനെ ഫോൺ പരിശോധിക്കുന്നു,7. Notifications interrupt my work / അറിയിപ്പുകൾ എന്റെ ജോലിയെ തടസ്സപ്പെടുത്തുന്നു,8. I can put my phone away whenever I choose to / വേണമെന്ന് തോന്നുമ്പോൾ ഫോൺ മാറ്റിവയ്ക്കാൻ കഴിയും,9. I feel anxious when my phone battery is low / ബാറ്ററി കുറയുമ്പോൾ ഉത്കണ്ഠ തോന്നുന്നു,Any other comments? / മറ്റ് അഭിപ്രായങ്ങൾ
2025-03-11 11:10:00,Kavya Suresh,57,Female / സ്ത്രീ,Thrissur,Homemaker,Yes / അതെ,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,The survey was easy to fill.
2025-03-12 12:17:00,Lijo Mathew,30,Male / പുരുഷൻ,Thrissur,Software Engineer,Yes / അതെ,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,
2025-03-13 13:24:00,Meera Krishnan,41,Male / പുരുഷൻ,Ernakulam,Teacher,No / അല്ല,Agree / യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Neutral / നിഷ്പക്ഷം,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,
2025-03-14 14:31:00,Nithin Das,48,Female / സ്ത്രീ,Kozhikode,Student,Yes / അതെ,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Please share the results with us.
2025-03-15 15:38:00,Oommen Cherian,27,Male / പുരുഷൻ,Wayanad,Nurse,Yes / അതെ,Neutral / നിഷ്പക്ഷം,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Agree / യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Please share the results with us.
2025-03-16 16:45:00,Parvathy Menon,58,Male / പുരുഷൻ,Wayanad,Teacher,Yes / അതെ,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,
2025-03-17 9:52:00,Rahul Prasad,34,Male / പുരുഷൻ,Palakkad,Shopkeeper,No / അല്ല,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Neutral / നിഷ്പക്ഷം,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Please share the results with us.
2025-03-18 10:59:00,Sandra Jacob,31,Female / സ്ത്രീ,Wayanad,Shopkeeper,Yes / അതെ,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Please share the results with us.
2025-03-19 11:06:00,Tony Sebastian,23,Female / സ്ത്രീ,Kollam,Software Engineer,Yes / അതെ,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,
2025-03-20 12:13:00,Uma Shankar,40,Male / പുരുഷൻ,Wayanad,Shopkeeper,Yes / അതെ,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,
2025-03-21 13:20:00,Vishnu Prakash,31,Female / സ്ത്രീ,Wayanad,Teacher,No / അല്ല,Neutral / നിഷ്പക്ഷം,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,No comments
2025-03-22 14:27:00,Wilson Fernandez,50,Male / പുരുഷൻ,Wayanad,Teacher,Yes / അതെ,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,
2025-03-23 15:34:00,Xavier Lopez,53,Male / പുരുഷൻ,Kozhikode,Homemaker,No / അല്ല,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,
2025-03-24 16:41:00,Yamuna Devi,53,Male / പുരുഷൻ,Ernakulam,Software Engineer,No / അല്ല,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,
2025-03-25 9:48:00,Zainab Ali,50,Male / പുരുഷൻ,Palakkad,Shopkeeper,No / അല്ല,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,
2025-03-26 10:55:00,Arun Gopal,33,Female / സ്ത്രീ,Ernakulam,Teacher,No / അല്ല,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Agree / യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,No comments
2025-03-27 11:02:00,Bhavana Rao,49,Male / പുരുഷൻ,Palakkad,Teacher,Yes / അതെ,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,,Neutral / നിഷ്പക്ഷം,Neutral / നിഷ്പക്ഷം,
2025-03-01 12:09:00,Cyril Antony,41,Male / പുരുഷൻ,Kozhikode,Shopkeeper,No / അല്ല,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,
2025-03-02 13:16:00,Divya Menon,32,Male / പുരുഷൻ,Ernakulam,Nurse,No / അല്ല,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,
2025-03-03 14:23:00,Emil Kurian,38,Male / പുരുഷൻ,Kozhikode,Student,Yes / അതെ,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,
